Week_Number	month	day	year	ARRefillVol1	ARRefillVol2	BRRunoffAprJuly	BRRefillCurve	DallesJanJul	DallesRunoffAprAug	DallesRunoffAprSep	ModDallesRunoffAprSep	DARunoffJanApr	DURefillVol	DURefillVol1	DURunoffAprAug	DWRefillVol1	DWRefillVol2	DWRunoffAprJuly	DWSumRunoffMarJun	GCRefillVol1	GCRefillVol2	GCRunoffJanApr	HHInQAprAug	HHRefillVol	HHRefillVol1	HHSumAprAug	HHSumAprJul	HHSumMaySept	LBRefillVol2	LBRefillVol1	LBSumAprAug	LBSumMayAug	MIRefillVol1	MIRefillVol2	MISumRunoffAprilAug	MISumRunoffMayAug	PriVICMI	PriVICREV	PriVICAR	PriVICDU	PriVICLB	PriVICBONF	PriVICCL	PriVICCOL	PriVICHH	PriVICKE	PriVICNOX	PriVICCB	PriVICAF	PriVICBD	PriVICGC	PriVICCJ	PriVICWE	PriVICRR	PriVICRI	PriVICWA	PriVICPR	PriVICPAL	PriVICMIL	PriVICBR	PriVICOX	PriVICHC	PriVICDW	PriVICLG	PriVICLIG	PriVICLM	PriVICIH	PriVICMCN	PriVICJD	PriVICDA	PriVICBON	DemVICAF	DemVICAR	DemVICBONF	DemVICBON	DemVICBD	DemVICBR	DemVICCB	DemVICCJ	DemVICCOL	DemVICCL	DemVICDA	DemVICDU	DemVICDW	DemVICKE	DemVICHH	DemVICGC	DemVICHC	DemVICIH	DemVICJD	DemVICLB	DemVICLIG	DemVICLG	DemVICLM	DemVICMCN	DemVICMI	DemVICMIL	DemVICNOX	DemVICOX	DemVICPAL	DemVICPR	DemVICREV	DemVICRI	DemVICRR	DemVICWA	DemVICWE	RetVICWA	RetVICPR	RetVICMCN	IflowCJ	IflowDA	IflowJD	IflowMCN	IflowPR	IflowRR	IflowRI	IflowWA	IflowWE	CurtVICCJ	CurtVICDA	CurtVICJD	CurtVICMCN	CurtVICPR	CurtVICRR	CurtVICRI	CurtVICWA	CurtVICWE	CurtVICAF	CurtVICAR	CurtVICBONF	CurtVICBD	CurtVICBR	CurtVICCB	CurtVICCOL	CurtVICCL	CurtVICDU	CurtVICDW	CurtVICKE	CurtVICHH	CurtVICGC	CurtVICHC	CurtVICIH	CurtVICLB	CurtVICLIG	CurtVICLG	CurtVICLM	CurtVICMI	CurtVICMIL	CurtVICNOX	CurtVICOX	CurtVICPAL	CurtVICREV
1	8	5	1979	6124000	227340	11015412.57	0	98798877.74	90090059.29	95855184.69	88741914.55	27475259.92	227340	1216480	1999498.534	3128024.625	2565198.094	1938943.409	2064776.353	8070288.4	3921900	9127343.938	1712777.181	2357396.709	3494155.234	1712777.181	1623236.066	1532101.996	900295.5	5462000	5494634.715	5171657.527	19300000	19611415.98	7232726.813	7016993.309	220663.2346	320757.8721	350480.8751	32116.0539	85329.37958	93325.08539	165493.1979	36282.34966	10663.4913	69654.48378	240990.0686	250910.0896	245175.3545	248888.5627	844813.4084	917976.286	933900.4918	957797.9694	978960.2987	965456.6892	961888.3241	63556.2454	187875.4544	544109.5306	539853.1041	535735.3466	12271.48234	668262.2856	667272.5561	677523.0396	677404.4813	1617114.966	1621838.422	1717389.58	1810189.126	313.5579602	204.8672881	90.91456521	7473.241705	11.37938469	116737.7934	1.340524979	425.919895	33.93812035	1314.214154	15935.11816	0	5.419789132	2815.93972	4.877894369	96758.21649	328.0113773	2234.311364	29027.07628	529.2181192	216.7367679	27152.96701	3155.261629	58350.36424	100.4304853	75179.5841	29317.2758	11.55196499	4865.308555	4187.473044	0	3615.574287	2744.261964	1045.603245	13532.79158	26901.61299	64716.13629	158617.9786	1180123	1666056	1666056	1666056	1318961	1249542	1318961	1318961	1249542	246.1961254	220.1326675	2313.524943	2775.0014	203.3122115	1071.845296	1023.83917	16.9452352	1816.585154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	8	12	1979	4918000	227340	8708473.32	0	112546862.3	94652083.17	100034193.1	91860771.53	39490317.81	227340	1009960	2211064.164	2788099.25	2520363.489	1585839.21	1921439.412	7033176.8	3921900	16685175.32	2083469.563	2329959.205	3341230.468	2083469.563	1989905.902	1789810.418	900295.5	5069000	8438378.107	7970647.852	18500000	19731129.96	9560817.008	9282041.409	258556.0417	344351.6054	346143.6067	34805.73431	78861.16719	82479.87667	156913.2909	29128.65683	7897.8002	55410.47571	208049.4467	211682.8343	214529.2978	214957.0395	809909.3668	882258.6668	896265.2364	916928.2451	935966.4462	921824.0907	918118.9538	70648.07908	190665.4811	476538.3644	470900.0082	464150.8393	10702.21762	574376.86	572064.0952	577197.5048	576490.8181	1465151.735	1458596.027	1549608.426	1655268.953	159.1242015	224.8760099	35.12398505	6282.273034	11.37938469	104633.6746	0.434950784	562.4421524	26.6622744	939.6215606	13195.74858	0	4.349193946	1187.486085	5.915418772	87611.93086	370.4109697	1898.191052	20741.19277	300.6123705	168.2993358	18281.87911	3331.099166	60836.59419	87.62376586	45232.7502	17559.08349	8.939813248	2348.652055	3574.126724	0	3133.704816	2971.112608	879.5424229	12435.59807	26901.61299	64716.13629	158617.9786	1180123	1666056	1666056	1666056	1318961	1249542	1318961	1318961	1249542	284.8776973	268.1895999	1724.532951	1427.881896	171.4694485	1217.054525	869.6352135	13.40752306	1931.097526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	8	19	1979	3712000	227340	15640134.63	0	140250486.4	125971702.1	132769343.9	125363014.2	40336589.11	227340	803440	2305313.672	2448173.876	2478315.262	2938174.618	3077932.974	5996065.2	4164213.386	14862381.65	2575162.791	2301963.608	3188305.702	2575162.791	2468482.578	2489962.138	900295.5	4676000	6539507.131	6251633.12	17700000	19839356.37	10646931.24	10391357.82	247068.4648	300929.878	310176.258	38554.72375	77056.09798	80433.49657	152289.9397	27848.83625	7339.706336	52489.39561	207477.4042	210747.6883	209932.7125	209229.0942	769042.3654	832178.5167	852810.1897	867214.5513	881534.4687	864555.2327	862799.6437	78548.3564	233974.4185	627939.7788	618582.1016	603190.7749	13488.59591	682289.2183	661163.2297	650345.685	631441.2107	1460972.123	1422292.387	1498589.328	1582257.202	195.708156	99.38574412	19.10043418	4014.602273	10.06646471	34487.88476	0	401.2811796	14.69650906	765.6512288	10659.5552	0	2.402241794	767.8852214	3.759565059	46713.69443	522.4920279	872.597086	8237.589874	228.5609202	82.93056881	7841.905043	2324.188818	44107.77977	77.58155848	19669.25777	9714.341131	2.411361879	982.0423683	2640.911689	0	3073.609464	2739.082492	805.1581928	8813.550169	26901.61299	64716.13629	158617.9786	1180123	1666056	1666056	1666056	1318961	1249542	1318961	1318961	1249542	212.2025378	189.7839345	543.797175	416.6323932	146.116526	816.4031727	822.3575091	8.396307045	1437.070127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	8	26	1979	2506000	237566.6185	15746343.09	0	136928817.5	115772639	122370503.7	115288392.7	42823977.73	227340	596920	2098520.968	2108248.501	2438767.42	2221206.059	2387436.943	4958953.6	4501087.933	15694914.73	1852830.314	2274196.014	3035380.936	1852830.314	1795876.234	1784947.34	900295.5	4283000	6131030.037	5780376.416	16900000	19946958.79	10368694.57	9881129.748	246444.4793	284489.6487	358111.8729	41262.27042	77674.50427	80533.67964	163838.3801	48317.76802	7567.709836	70732.60972	219986.0081	222489.3153	216284.0221	214288.5405	822821.7465	888736.9771	941329.2753	953249.3456	964669.1656	944017.5488	938535.2112	62439.04752	192063.0737	529845.4829	524810.644	520131.4027	15988.98064	662350.9217	670439.0381	692940.0897	702751.7179	1624013.861	1619954.422	1705691.237	1806860.706	305.8500839	40.80838318	69.54093264	1857.979184	11.23125472	78815.01499	0.489591765	334.3553827	0.747241941	818.5531075	7108.810074	0	3.537750011	1203.69183	0.242254876	57724.19011	1321.642472	716.212724	7397.111224	159.5007053	103.0977245	11576.59362	2720.397161	43318.05967	33.9128738	35579.31286	14763.07072	8.980667253	712.5991391	3036.805499	0	2026.028378	2785.189636	662.4866133	8252.823191	26901.61299	64716.13629	158617.9786	1180123	1666056	1666056	1666056	1318961	1249542	1318961	1318961	1249542	139.5887404	42.6106566	780.7352741	391.3823374	114.5670005	1027.951074	698.6223244	11.14113184	1433.263793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	9	2	1979	1300000	227340	18464493.83	0	128034202.4	116207219.1	125280850.6	118204972.8	40267287.28	227340	390400	1706116.286	1768323.126	2423356.03	3017486.624	2890926.555	3921842	4822420.027	14414627.38	1727615.989	2279952.519	2882456.17	1727615.989	1678647.617	1529449.424	900295.5	3890000	4362683.43	3928814.839	16100000	20018951.8	9161864.069	8634144.988	210835.0682	242420.1809	253573.2903	43134.30798	74075.57324	80639.41601	163493.493	32287.90242	7769.714186	51139.02346	190495.587	197137.1691	207242.1423	209748.904	737858.2657	801326.4962	843156.929	861265.916	874112.385	861954.769	861093.1761	52549.45031	152708.5439	452664.8685	448047.5958	442154.0337	12357.02114	558722.298	559135.1248	559539.4588	561443.7456	1401420.028	1413246.608	1497555.679	1563762.101	269.8779567	97.38657562	56.25033918	4103.669604	10.01238707	61264.77067	0.077449399	381.7842546	6.0414892	1146.837805	10751.88737	0	1.227956929	1438.255081	0.652492355	31141.54599	909.8447692	1138.31741	6041.358345	195.0775781	79.93776923	14937.19568	2597.268171	42222.59939	10.86090453	43876.23459	17095.74913	8.720466754	325.5685346	2069.959762	0	2420.375064	2070.921658	600.3482081	6095.188037	26901.61299	64716.13629	158617.9786	555352	1249542	1180123	833028	555352	555352	555352	555352	555352	170.5642694	168.3730092	581.3747724	416.3148784	109.124841	739.1651103	576.7799348	5.80410336	889.4948195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	9	9	1979	2007500	286090.2805	9361434.357	0	99814440.88	92180676.87	100657913.5	92092340.02	30690043.12	227340	423375	1907902.707	1764058.687	2402296.895	3065444.156	3141561.098	3921842	5147360.187	12504717.04	1790057.162	2283650.332	2860737.283	1790057.162	1708870.624	1629112.683	900295.5	3907500	4209041.414	3909019.529	16400000	20042351.66	9848192.732	9454893.303	162241.9197	233167.2227	339661.9327	49237.03197	63360.20162	74427.23485	196469.0803	29696.44485	5711.023417	34918.68108	137630.2427	147382.1226	164290.2293	168843.3724	741466.3322	770392.467	828313.9609	818955.3544	823855.9931	792088.4166	785589.952	46631.02885	126616.5862	451474.0596	449499.7633	446928.018	6709.276941	555585.3694	558195.2898	540096.8381	542313.3686	1304324.491	1311282.028	1385285.751	1356591.315	90.15221142	23.66763657	8.285636102	432.5041241	6.09185756	65111.96004	0.175685663	146.9583611	1.344122474	96.99926079	8162.643624	0	1.432086857	1067.297692	0.222018027	10256.22098	993.7041468	167.8027489	4968.879373	158.1681725	24.43575738	15788.83009	896.5030944	18900.21759	2.948342769	49463.46933	18906.76969	4.396974551	668.4757293	1035.816027	0	1161.448712	782.0048929	286.5840434	3472.554013	36482.12925	98660.38875	202713.777	555352	1249542	1180123	833028	555352	555352	555352	555352	555352	78.20774155	33.25527007	368.0306115	277.0599139	68.25149767	182.0576364	322.3323531	1.176493448	588.0592573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	9	16	1979	2715000	428399.6968	14585804.07	0	115527452.8	97798058.38	103174735	94943333.44	45034210.91	227340	456350	2037645.345	1759794.248	2379824.425	2367592.759	2938055.508	3921842	5465917.733	15978664.4	1766378.903	2285934.135	2839018.396	1766378.903	1701785.923	1475511.296	900295.5	3925000	5166560.914	4575308.026	16700000	20075520	9636155.156	9256331.533	172010.394	241549.5154	406109.3251	40676.75485	52536.53787	57959.20241	146683.1088	23921.80656	4297.012377	29054.39572	121204.9927	128910.7305	143748.3893	148194.0403	735083.7178	796350.7977	819868.3739	837646.2764	853269.4465	847739.7799	851438.754	43848.45721	119540.8752	414689.8799	412405.1419	409212.8635	5295.940929	496456.5202	496439.4121	475959.5352	476679.0931	1368336.109	1407748.541	1480981.354	1458452.306	204.4348958	39.32012758	78.74162849	3772.706295	6.876809089	46734.59173	0.571017943	140.2499405	9.042082686	546.7770674	16299.76702	0	2.699054245	1630.718788	0.081045806	24970.75434	955.9406338	1039.159051	9036.44438	224.7473127	24.73578525	24874.25075	2160.348395	30608.36217	5.244074447	45719.75344	30466.41314	5.626221559	1645.609155	2012.830888	0	2362.134888	1966.278569	247.0558654	4459.247037	36482.12925	98660.38875	202713.777	555352	1249542	1180123	833028	555352	555352	555352	555352	555352	78.23265253	5.163153037	759.3341847	755.5450506	115.0420569	607.1908908	392.8881479	4.714205591	356.7809896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	9	23	1979	3422500	321213.1392	6171076.426	0	87523441.32	78380076.82	82351820.56	73875548.37	29302587.28	227340	489325	2008356.104	1755529.809	2356484.605	1642203.682	1898289.813	3921842	5518840.188	13999023.61	1496392.939	2287075.478	2817299.509	1496392.939	1374546.434	1217920.922	900295.5	3942500	5536429.2	4998189.002	1.70E+07	20075520	11423345.04	10899624.46	123164.6089	166037.3483	156613.3511	14220.25377	42815.60855	47160.71334	85258.01119	15964.08107	3154.552584	22437.57708	110645.3703	117589.245	131583.5829	135847.2546	469448.6261	523726.6315	534035.4581	564530.5025	583130.2033	593140.7002	603453.88	43049.97027	115564.8504	394780.4883	392553.9434	389376.8155	4428.592272	468223.975	467845.976	446891.5855	447159.7782	1139402.087	1213688.877	1287529.431	1277543.294	355.4790012	118.5972277	74.57278084	6440.796282	8.189729072	41829.63771	0.903618715	229.4916161	23.41063918	1374.952066	13278.00538	0	3.625458916	3759.8492	0.823826717	38431.18138	359.6281051	1008.694836	12411.77743	258.9191354	33.21301219	26777.93035	2008.444082	31561.91458	5.298010269	34569.01057	34839.54048	5.836179747	3486.692536	2056.701296	0	2382.941986	1702.386107	444.9992964	6867.906256	36482.12925	98660.38875	202713.777	555352	1249542	1180123	833028	555352	555352	555352	555352	555352	151.8044817	26.20737458	946.8501816	769.7639756	80.84805873	591.164944	666.1418615	9.725421602	1164.102745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9	30	1979	4130000	227340	6536809.095	0	82276689.47	76110275.72	80041007.61	70999028.08	21355013.12	227340	522300	2043088.207	1751265.37	2333056.871	1774914.027	1848852.833	3921842	5506269.37	10614754.92	1428365.454	2287666.329	2795580.622	1428365.454	1397439.026	1185763.929	900295.5	3960000	4181379.139	3694973.89	17300000	20075520	10535959.75	9930076.606	137392.4655	180338.7353	169926.7696	26099.59109	41764.74438	45110.92253	87880.06904	14401.48786	2604.061436	20660.71467	106316.0969	112737.8086	124617.9215	128259.7693	403955.3544	433067.3294	434428.8801	443293.363	450483.9855	443541.3363	443294.8235	46376.5781	122533.2064	411254.2697	408200.4185	402218.9473	4340.676665	465147.7324	460259.031	435446.5	432964.9483	888209.8342	926286.5894	983889.937	968927.1524	187.9323022	89.13313012	61.46339053	1739.959323	9.41946885	40676.10129	0.734240702	169.8509168	8.340420545	738.3697128	9058.313758	0	2.430021243	2035.476691	1.029242786	39508.29246	412.7530807	624.7956588	10089.16704	153.8778411	91.42908094	15014.0073	1693.530981	31056.05714	3.468507	19157.76693	21501.00044	3.401919515	2481.519274	1574.346745	0	1388.580716	1589.330307	298.9752371	5705.855547	36482.12925	98660.38875	202713.777	555352	1249542	1180123	833028	555352	555352	555352	555352	555352	94.69485659	75.31956267	710.7163818	826.9942274	23.94029019	507.497982	382.755902	8.635523833	535.272635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	7	1979	4188000	227340	11244140.33	0	105994861.2	100009797	107173295	98943908.12	33474557.64	227340	534480	1933681.156	1752852.138	2311456.378	3044403.738	2944231.243	3921842	5465872.562	12819359.21	2383719.643	2287841.616	2784274.9	2383719.643	2301542.858	2144859.764	900295.5	3958800	5345795.035	4829025.933	17360000	20075520	10394384.15	9815479.303	69698.73534	101863.1489	166014.3271	16901.72777	39496.77004	40094.43902	72838.07811	11103.42344	2188.496563	16728.01146	97104.13184	101586.743	127023.9554	137012.7002	376129.3631	413949.0225	421322.3041	417749.0457	419632.9433	406068.7112	400369.8707	37727.93312	120198.3848	328058.7366	328016.6907	327931.9525	6167.918948	449469.6137	452364.5137	414764.893	417288.3094	813319.6765	857865.6745	935321.5971	904057.0545	89.48006716	107.6598292	3.52526783	2946.332082	4.781350419	7138.406483	0	173.7312771	1.694551353	37.69596156	1013.266777	0	0.443895134	213.069187	0.327810909	10234.72226	1.872666612	89.89754839	2970.157165	9.618552299	26.92039424	1548.119831	268.5465985	11218.13086	20.34389108	2572.564223	2044.469595	1.476792984	200.7054966	658.6762962	0	1401.710062	1169.06527	196.8493922	3529.032221	33309.77356	105639.579	195417.3537	416514	1249542	1180123	833028	555352	485933	555352	555352	485933	122.7882393	19.97045182	361.5046646	261.7165022	14.23859232	557.1220504	400.4163833	0	946.4750638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	10	14	1979	4246000	227340	7308425.487	0	108261831.9	100632762.9	107306017.6	98920500.49	35345611.25	227340	546660	2067970.92	1754438.906	2289632.466	3121041.859	3091664.334	3921842	5362760.743	17654623.19	2195118.124	2287792.584	2772969.178	2195118.124	2116427.093	1845186.738	900295.5	3957600	7182487.013	6254022.008	17420000	20075520	10966770.41	10200089.26	58003.07952	79919.89039	99112.011	8848.52268	35110.16731	35862.96125	52666.09271	11138.71386	1964.177798	16121.94314	94254.28762	98587.30288	123061.3281	132695.8891	313414.3533	359144.4349	369155.8842	381470.0665	389152.7107	387569.6621	388037.991	35957.19386	111377.4191	289290.6577	288666.5975	287368.2005	5944.499021	391769.5457	392164.0847	358133.4021	359834.6559	784423.8289	855367.752	940804.4003	924071.5657	71.269607	24.27408094	2.596832787	1525.360467	4.33656217	412.7401865	0	79.57324252	0	518.1477721	249.5031354	0	0.128370222	59.54264345	0.018831639	4569.115962	1.114269309	40.21098438	867.3882202	0.868034004	5.293917734	43.51486553	141.3839145	6037.672051	0	5362.443723	18.71129628	0	0.095961792	322.3582547	0	1664.171517	986.7884371	235.7626375	2098.114284	33309.77356	105639.579	195417.3537	416514	1249542	1180123	833028	555352	485933	555352	555352	485933	29.01624245	14.70885048	122.5915121	129.7295456	0	247.4607104	375.4879311	4.627609912	306.5432378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	10	21	1979	4304000	227340	7262656.707	0	113420980.7	106387363.3	113746023.6	105361104	28930149.97	227340	558840	2367067.216	1756025.674	2281342.597	2719543.001	2761947.53	3921842	5287263.706	14652132.74	2536155.167	2289659.532	2761663.456	2536155.167	2459659.378	2362236.544	900295.5	3956400	7933473.016	7348765.141	17480000	20075520	12607100.87	11954885.24	60265.37842	82961.5878	126255.0499	20019.08208	41977.93009	47941.98716	79028.10196	22841.91227	3880.157884	25794.94101	107237.9185	111978.0383	131609.7973	139875.807	341029.1347	366957.6198	378873.0084	369956.6732	369821.1357	354472.9648	350426.3715	52517.84523	139971.0255	338526.8517	336794.1278	330867.0614	19478.5432	466830.7204	452530.5147	410058.372	400285.4135	736870.9378	781772.8241	868716.5271	848390.6654	69.78330131	28.11276409	0	581.5168627	4.33656217	13.17118955	0	22.18618302	0	0.18165608	48.25820881	0	0	0	0	2294.970918	0.016152399	25.53140977	762.3993698	0	5.293917734	16.91715191	138.8583853	3691.296434	0	1.040630595	1.074240631	0	0.0027709	165.9146435	0	452.8273079	296.8300323	148.0239389	974.0444564	33309.77356	105639.579	195417.3537	416514	1249542	1180123	833028	971866	485933	555352	555352	485933	16.38544413	0.697757271	168.3836672	55.50976275	0	196.5806936	30.37652905	0	79.14915648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	10	28	1979	4362000	227340	5220605.471	0	82280716.14	72679021.78	77150931.03	68407790.12	29268849.61	227340	571020	1985625.41	1757612.442	2287425.781	1548650.001	2003620.498	3921842	5339597.19	13109143.43	1571953.275	2294232.032	2750357.734	1571953.275	1500903.5	1331868.948	900295.5	3955200	4866160.944	4438095.059	17540000	20075520	10677244.79	10208792.11	58776.65539	79896.00115	136341.5843	21925.41781	49508.28954	67593.13691	109885.1707	33285.88768	6585.71038	34635.57523	128737.8443	137958.514	173137.0702	185840.7931	468859.6561	520072.6895	567729.3167	568055.8894	575570.2713	557847.4874	555610.8652	68454.95545	194979.6564	533187.1621	533804.9038	530246.4616	33851.59464	735792.7691	729088.2139	670934.9568	665773.1917	1208992.332	1256896.55	1391118.121	1347699.894	69.70829529	0	0	55.76990911	4.33656217	56.50293326	0	8.12802236	0	0	6.466374623	0	0	0	0	1208.227172	0	14.24179651	118.6696161	0	5.293917734	15.20780241	138.7485441	1311.633076	0	0.060896754	0	0	0	130.3835508	0	213.6495544	38.33789358	138.6786672	148.1989589	33309.77356	105639.579	195417.3537	416514	1249542	1180123	833028	971866	485933	555352	555352	485933	0	0	0	0	0	0	63.87648855	2.447814373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	11	4	1979	4420000	270983.2125	13826952.16	0	106851910.2	106043119.8	111891328.9	105121849	27225511.9	227340	583200	1651286.461	1759199.21	2276589.046	2965202.207	3010294.146	3921842	5524770.974	10199411.29	1879995.035	2296302.895	2739052.012	1879995.035	1760456.685	1845303.188	900295.5	3954000	5460492.954	5113671.162	17600000	20075520	9408035.687	9027857.555	66887.85891	76623.92078	161638.4856	15961.9713	44465.08328	55675.86057	115325.3572	23804.81229	4084.072109	29575.21399	133231.8232	138076.2387	175150.0186	186654.1594	601699.9557	669711.2636	723819.2717	726820.4708	737461.8138	719097.5792	709411.7023	44046.28045	128885.8522	337133.0457	337935.7685	338620.5873	16931.67733	558666.1625	570044.5758	532135.3148	543192.8779	1402731.085	1437554.221	1540844.502	1555145.439	43.71356458	0	0	31.04839445	1.836838836	18.113265	0	1.968416762	0	0	3.360976281	0	0	0	0	753.9891835	0	4.574304777	57.8266865	0	1.387703516	4.20574488	73.28528693	742.7887962	0	0	0	0	0	70.19823442	0	111.6385481	14.92419669	80.94549874	72.07924772	21572.04974	50250.1752	115727.6758	416514	833028	833028	833028	971866	416514	416514	416514	416514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	11	11	1979	4652500	266622.0261	6076645.544	0	82135693.84	74193160.16	78476446.27	69276381.54	24428317.39	227340	591875	1817726.919	1765248.763	2256905.929	1534780.474	1686721.166	3921842	5431543.264	11928631.01	1682642.865	2297223.578	2724671.927	1682642.865	1645569.338	1377963.032	900295.5	3940000	5311731.892	4721894.742	17650000	20075520	10667589.38	10139405.56	61309.63178	54856.17121	65059.84218	7313.046562	28107.85466	31464.47686	54526.6618	13819.78895	2933.892743	19894.3117	115258.7111	113583.2065	135965.2637	142703.5211	323298.4615	361751.8678	381019.2095	396458.5989	410087.0446	412418.0415	415336.619	40686.31593	101058.0743	285563.9929	285610.9309	284536.8633	8085.29446	454200.5641	451443.1481	407313.5301	405441.3413	1068645.515	1154118.558	1264052.928	1355748.411	43.71356458	0	0	31.04839445	1.836838836	0	0	1.968416762	0	0	3.360976281	0	0	0	0	708.797206	0	4.574304777	57.8266865	0	1.387703516	4.20574488	73.28528693	742.7887962	0	0	0	0	0	70.19823442	0	111.6385481	14.92419669	80.94549874	38.78696986	21572.04974	50250.1752	115727.6758	416514	833028	833028	833028	971866	416514	416514	416514	416514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	11	18	1979	4885000	253042.1465	13868127.23	0	118180795.1	105686600.6	111665666	104719398.4	37845322	227340	600550	1857347.787	1771298.316	2236260.036	2300242.068	2477504.864	3921842	5281732.283	13603385.06	1949684.887	2298061.495	2710291.842	1949684.887	1873623.69	1883701.944	900295.5	3926000	5934799.162	5597999.143	17700000	20075520	10039877.22	9671243.558	59782.10029	53001.26991	55841.14904	6455.044723	25120.61127	26538.58377	43896.28386	13843.30752	2851.127048	18786.27555	110161.3995	108154.105	128335.1215	134511.5199	266715.1908	290483.2022	299838.4522	303272.4777	309746.3466	302015.3209	297665.3821	37325.32687	84442.41684	249099.402	249566.7714	249752.2202	7122.517717	405938.6081	403694.3643	363733.8138	362867.7253	789539.9104	813995.5174	881229.8357	925121.6108	43.71356458	0	0	31.04839445	1.836838836	0	0	1.968416762	0	0	3.360976281	0	0	0	0	708.797206	0	4.574304777	57.8266865	0	1.387703516	4.20574488	73.28528693	742.7887962	0	0	0	0	0	70.19823442	0	111.6385481	14.92419669	80.94549874	38.78696986	21572.04974	50250.1752	115727.6758	416514	833028	833028	833028	971866	416514	416514	416514	416514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	11	25	1979	5117500	240722.9024	13870305.35	0	145335326.1	121459249.6	129106899.2	121162356.5	52568578.55	227340	609225	2016879.621	1777347.869	2218547.704	3021438.926	3331341.47	3921842	5145296.205	19610335	2267980.745	2299130.754	2695911.757	2267980.745	2190875.81	2015337.066	900295.5	3912000	7046252.102	6405566.222	17750000	20075520	11747579.4	11289135.86	59049.59117	52434.47976	57101.78452	6837.669724	24356.61269	27143.15405	45798.11725	14029.47626	3082.468567	19769.26672	113170.2597	111610.1042	132609.0168	138570.4182	280090.0938	301879.5362	304861.1668	303236.3159	307348.414	296621.2464	293257.4292	35183.20845	85662.06828	248297.2286	248478.0743	247799.0241	10056.07944	437106.5325	434381.8388	399475.4557	396931.702	809344.7641	868537.9934	949398.2533	980392.4767	43.71356458	0	0	31.04839445	1.836838836	0	0	1.968416762	0	0	3.360976281	0	0	0	0	708.797206	0	4.574304777	57.8266865	0	1.387703516	4.20574488	73.28528693	742.7887962	0	0	0	0	0	70.19823442	0	111.6385481	14.92419669	80.94549874	38.78696986	21572.04974	50250.1752	115727.6758	416514	833028	833028	833028	971866	416514	416514	416514	416514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	12	2	1979	5350000	227340	16854489.02	0	160811678.2	145997268.5	153819192.7	146828716.8	43247840.19	227340	617900	2115660.861	1783397.422	2197398.011	4615806.188	4606499.782	3921842	4990838.817	14154019.55	2837941.364	2300224.6	2681531.672	2837941.364	2723117.403	2750618.931	900295.5	3898000	7778815.688	7493301.073	17800000	20075520	11680354.71	11297621.74	54369.83636	50115.6806	56038.12621	6426.855	23910.54653	25857.2417	45485.97126	13014.06983	3107.055855	18543.30473	111108.8626	111197.227	121200.1536	125670.3233	262068.7834	287997.2201	290380.3727	294889.0985	300560.3701	294078.8281	291015.9246	33551.01014	76668.07083	246825.3248	247061.7534	249400.3663	6618.718301	386095.8805	385496.8505	349593.2699	349697.0024	736856.7312	777971.9546	834359.7939	867065.2039	31.78787458	0	0	24.5500611	1.476544028	0	0	1.278598155	0	0	2.532011748	0	0	0	0	520.7979752	0	3.658679634	39.76518472	0	0.960726804	2.961671333	48.36936948	556.4698587	0	0	0	0	0	52.96144697	0	90.2912988	10.56148057	61.15725795	27.54428072	21572.04974	50250.1752	115727.6758	416514	833028	833028	833028	971866	416514	416514	416514	416514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
